予約番号,予約人数,予約件数,予約宴会名称,会場枝番,会場名称,会場使用日,宴会開始時間,宴会終了時間,行灯名称,会場予約人数,営業担当名称,予約状態ｺｰﾄﾞ,予約状態名称,会場ｺｰﾄﾞ,会場使用目的ｺｰﾄﾞ,会場使用目的名称,会場形式ｺｰﾄﾞ,会場形式名称,ｴｰｼﾞｪﾝﾄｺｰﾄﾞ,エージェン 名称,申込会社 名称,ｴｰｼﾞｪﾝﾄ名称,予約状態備考
"34906","120","1","イオンビッグ株式会社","2","富士","2025/04/24","13:00","15:00","イオンビッグ株式会社　優秀従業員表彰懇親会","120","伊藤　良行","1","決定予約","170","30","懇親会","21","立食"," ","","","",""
"34906","120","1","イオンビッグ株式会社","1","鶴","2025/04/24","09:30","13:00","イオンビッグ株式会社　優秀従業員表彰式","120","伊藤　良行","1","決定予約","260","22","表彰式","3","スクール形式"," ","","","",""
"34907","160","1","イオンビッグ株式会社","3","鶴","2025/05/09","09:00","17:00","イオンビッグ株式会社","160","伊藤　良行","1","決定予約","260","21","ｾﾐﾅｰ","3","スクール形式"," ","","","",""
"34907","160","1","イオンビッグ株式会社","1","鶴","2025/05/08","09:00","19:00","イオンビッグ株式会社","160","伊藤　良行","1","決定予約","260","21","ｾﾐﾅｰ","3","スクール形式"," ","","","",""
"34907","160","1","イオンビッグ株式会社","4","伏見","2025/05/09","09:00","17:00","イオンビッグ株式会社","10","伊藤　良行","1","決定予約","370","7","講師控室","5","ロの字"," ","","","",""
"34907","160","1","イオンビッグ株式会社","2","伏見","2025/05/08","09:00","19:00","イオンビッグ株式会社","10","伊藤　良行","1","決定予約","370","7","講師控室","5","ロの字"," ","","","",""
"34914","40","1","中富良野町フラワー都市交流事業","1","楓","2025/05/13","18:00","20:00","中富良野町フラワー都市交流事業","40","伊藤　良行","5","ｷｬﾝｾﾙ","340","30","懇親会","70","丸卓会席","2999","HIS国内地上商材仕入本部東日本グループ中部・北陸ちーむ","","その他AGT",""
"34927","139","1","全ユニー労働組合　","5","富士","2025/05/21","17:00","19:00","全ユニー労働組合","139","渡瀬　太郎","1","決定予約","170","30","懇親会","21","立食"," ","","全ユニー労働組合","","3年次セミナー"
"34927","139","1","全ユニー労働組合　","6","鶴","2025/05/21","21:00","22:00","全ユニー労働組合","135","渡瀬　太郎","1","決定予約","260","13","昼食","20","入れ込み"," ","","全ユニー労働組合","","3年次セミナー"
"34927","139","1","全ユニー労働組合　","1","鶴","2025/05/21","09:00","17:00","全ユニー労働組合","139","渡瀬　太郎","1","決定予約","260","15","会議","8","グループ(島)"," ","","全ユニー労働組合","","3年次セミナー"
"34927","139","1","全ユニー労働組合　","4","橘","2025/05/21","09:00","17:00","全ユニー労働組合","20","渡瀬　太郎","1","決定予約","350","9","控室","3","スクール形式"," ","","全ユニー労働組合","","3年次セミナー"
"34927","139","1","全ユニー労働組合　","2","葵","2025/05/21","09:00","17:00","全ユニー労働組合","4","渡瀬　太郎","1","決定予約","360","7","講師控室","8","グループ(島)"," ","","全ユニー労働組合","","3年次セミナー"
"34927","139","1","全ユニー労働組合　","3","伏見","2025/05/21","09:00","17:00","全ユニー労働組合","4","渡瀬　太郎","1","決定予約","370","9","控室","8","グループ(島)"," ","","全ユニー労働組合","","3年次セミナー"
"34931","60","1","税理士による近藤昭一後援会","1","鶴(１)","2025/04/18","17:00","19:00","税理士による近藤昭一後援会","60","渡瀬　太郎","1","決定予約","270","21","ｾﾐﾅｰ","3","スクール形式"," "," ","税理士法人ポラリス","",""
"34931","60","1","税理士による近藤昭一後援会","2","鶴(２)","2025/04/18","19:00","21:00","税理士による近藤昭一後援会","60","渡瀬　太郎","1","決定予約","280","30","懇親会","13","着ビュ"," "," ","税理士法人ポラリス","",""
"34943","11","1","株式会社マップ","1","竹","2025/04/25","18:00","20:00","株式会社マップ","11","近藤　和記","5","ｷｬﾝｾﾙ","210","30","懇親会","99","未定","2999"," ","トラベルエージェンシー","その他AGT",""
"34960","142","1","全ユニー労働組合　※5/19・21・26も仮押さえ","6","鶴","2025/05/29","21:00","22:00","全ユニー労働組合","135","渡瀬　太郎","5","ｷｬﾝｾﾙ","260","13","昼食","20","入れ込み"," ","","全ユニー労働組合","","3年次セミナー　5/19・21・26も仮押さえ"
"34960","142","1","全ユニー労働組合　※5/19・21・26も仮押さえ","1","鶴","2025/05/29","09:00","17:00","全ユニー労働組合","142","渡瀬　太郎","5","ｷｬﾝｾﾙ","260","15","会議","8","グループ(島)"," ","","全ユニー労働組合","","3年次セミナー　5/19・21・26も仮押さえ"
"34960","142","1","全ユニー労働組合　※5/19・21・26も仮押さえ","4","橘","2025/05/29","09:00","17:00","全ユニー労働組合","30","渡瀬　太郎","5","ｷｬﾝｾﾙ","350","9","控室","3","スクール形式"," ","","全ユニー労働組合","","3年次セミナー　5/19・21・26も仮押さえ"
"34960","142","1","全ユニー労働組合　※5/19・21・26も仮押さえ","2","葵","2025/05/29","09:00","17:00","全ユニー労働組合","4","渡瀬　太郎","5","ｷｬﾝｾﾙ","360","7","講師控室","8","グループ(島)"," ","","全ユニー労働組合","","3年次セミナー　5/19・21・26も仮押さえ"
"34960","142","1","全ユニー労働組合　※5/19・21・26も仮押さえ","3","伏見","2025/05/29","09:00","17:00","全ユニー労働組合","4","渡瀬　太郎","5","ｷｬﾝｾﾙ","370","9","控室","8","グループ(島)"," ","","全ユニー労働組合","","3年次セミナー　5/19・21・26も仮押さえ"
"34960","142","1","全ユニー労働組合　※5/19・21・26も仮押さえ","5","紬","2025/05/29","16:30","19:30","全ユニー労働組合","140","渡瀬　太郎","5","ｷｬﾝｾﾙ","290","30","懇親会","21","立食"," ","","全ユニー労働組合","","3年次セミナー　5/19・21・26も仮押さえ"
"34961","142","1","全ユニー労働組合　※5/19・21・29も仮押さえ","6","鶴","2025/05/26","21:00","22:00","全ユニー労働組合","135","渡瀬　太郎","5","ｷｬﾝｾﾙ","260","13","昼食","20","入れ込み"," ","","全ユニー労働組合","","3年次セミナー　5/19・21・29も仮押さえ"
"34961","142","1","全ユニー労働組合　※5/19・21・29も仮押さえ","1","鶴","2025/05/26","09:00","17:00","全ユニー労働組合","142","渡瀬　太郎","5","ｷｬﾝｾﾙ","260","15","会議","8","グループ(島)"," ","","全ユニー労働組合","","3年次セミナー　5/19・21・29も仮押さえ"
"34961","142","1","全ユニー労働組合　※5/19・21・29も仮押さえ","4","橘","2025/05/26","09:00","17:00","全ユニー労働組合","30","渡瀬　太郎","5","ｷｬﾝｾﾙ","350","9","控室","3","スクール形式"," ","","全ユニー労働組合","","3年次セミナー　5/19・21・29も仮押さえ"
"34961","142","1","全ユニー労働組合　※5/19・21・29も仮押さえ","2","葵","2025/05/26","09:00","17:00","全ユニー労働組合","4","渡瀬　太郎","5","ｷｬﾝｾﾙ","360","7","講師控室","8","グループ(島)"," ","","全ユニー労働組合","","3年次セミナー　5/19・21・29も仮押さえ"
"34961","142","1","全ユニー労働組合　※5/19・21・29も仮押さえ","3","伏見","2025/05/26","09:00","17:00","全ユニー労働組合","4","渡瀬　太郎","5","ｷｬﾝｾﾙ","370","9","控室","8","グループ(島)"," ","","全ユニー労働組合","","3年次セミナー　5/19・21・29も仮押さえ"
"34961","142","1","全ユニー労働組合　※5/19・21・29も仮押さえ","5","紬","2025/05/26","16:30","19:30","全ユニー労働組合","140","渡瀬　太郎","5","ｷｬﾝｾﾙ","290","30","懇親会","21","立食"," ","","全ユニー労働組合","","3年次セミナー　5/19・21・29も仮押さえ"
"34962","142","1","全ユニー労働組合　※5/21・26・29も仮押さえ","5","鶴","2025/05/19","21:00","22:00","全ユニー労働組合","135","渡瀬　太郎","5","ｷｬﾝｾﾙ","260","13","昼食","20","入れ込み"," ","","全ユニー労働組合","","3年次セミナー　5/21・26・29も仮押さえ"
"34962","142","1","全ユニー労働組合　※5/21・26・29も仮押さえ","1","鶴","2025/05/19","09:00","17:00","全ユニー労働組合","142","渡瀬　太郎","5","ｷｬﾝｾﾙ","260","15","会議","8","グループ(島)"," ","","全ユニー労働組合","","3年次セミナー　5/21・26・29も仮押さえ"
"34962","142","1","全ユニー労働組合　※5/21・26・29も仮押さえ","3","橘","2025/05/19","09:00","17:00","全ユニー労働組合","30","渡瀬　太郎","5","ｷｬﾝｾﾙ","350","9","控室","3","スクール形式"," ","","全ユニー労働組合","","3年次セミナー　5/21・26・29も仮押さえ"
"34962","142","1","全ユニー労働組合　※5/21・26・29も仮押さえ","2","伏見","2025/05/19","09:00","17:00","全ユニー労働組合","4","渡瀬　太郎","5","ｷｬﾝｾﾙ","370","9","控室","8","グループ(島)"," ","","全ユニー労働組合","","3年次セミナー　5/21・26・29も仮押さえ"
"34962","142","1","全ユニー労働組合　※5/21・26・29も仮押さえ","4","紬","2025/05/19","16:30","19:30","全ユニー労働組合","140","渡瀬　太郎","5","ｷｬﾝｾﾙ","290","30","懇親会","21","立食"," ","","全ユニー労働組合","","3年次セミナー　5/21・26・29も仮押さえ"
"34963","40","1","合気練功プロジェクト","2","松","2025/05/31","19:00","20:00","合気練功プロジェクト","40","渡瀬　太郎","1","決定予約","200","1","夕食","16","和室イステー"," ","","合気練功プロジェクト","","泊あり　合気道指導者講習会"
"34963","40","1","合気練功プロジェクト","1","桐","2025/05/31","12:00","21:30","合気練功プロジェクト","40","渡瀬　太郎","1","決定予約","220","21","ｾﾐﾅｰ","1","フラット"," ","","合気練功プロジェクト","","泊あり　合気道指導者講習会"
"34972","15","1","JAM議員団会議","2","楓","2025/05/11","14:00","17:00","JAM議員団会議","30","近藤　和記","5","ｷｬﾝｾﾙ","340","15","会議","5","ロの字","2999","JAMトラベル＆サポート","","その他AGT",""
"34972","15","1","JAM議員団会議","5","橘","2025/05/11","22:00","22:30","JAM議員団会議","15","近藤　和記","5","ｷｬﾝｾﾙ","350","13","昼食","20","入れ込み","2999","JAMトラベル＆サポート","","その他AGT",""
"34972","15","1","JAM議員団会議","1","橘","2025/05/11","12:00","14:00","JAM議員団会議","15","近藤　和記","5","ｷｬﾝｾﾙ","350","15","会議","5","ロの字","2999","JAMトラベル＆サポート","","その他AGT",""
"34972","15","1","JAM議員団会議","3","錦","2025/05/11","18:00","20:00","JAM議員団会議","30","近藤　和記","5","ｷｬﾝｾﾙ","250","30","懇親会","72","丸卓","2999","JAMトラベル＆サポート","","その他AGT",""
"34975","76","1","資生堂スギ薬局　表彰式","1","鶴(１)","2025/05/16","10:00","14:30","資生堂スギ薬局　表彰式","45","伊藤　良行","5","ｷｬﾝｾﾙ","270","21","ｾﾐﾅｰ","3","スクール形式","2100","近畿日本ツーリスト法人第1支店","","近畿日本ツーリスト",""
"34975","76","1","資生堂スギ薬局　表彰式","2","鶴(２)","2025/05/16","12:00","19:00","資生堂スギ薬局　表彰式","76","伊藤　良行","5","ｷｬﾝｾﾙ","280","30","懇親会","72","丸卓","2100","近畿日本ツーリスト法人第1支店","","近畿日本ツーリスト",""
"34975","76","1","資生堂スギ薬局　表彰式","5","伏見","2025/05/16","23:00","23:59","資生堂スギ薬局　表彰式","10","伊藤　良行","5","ｷｬﾝｾﾙ","370","1","夕食","20","入れ込み","2100","近畿日本ツーリスト法人第1支店","","近畿日本ツーリスト",""
"34975","76","1","資生堂スギ薬局　表彰式","4","伏見","2025/05/16","22:00","23:00","資生堂スギ薬局　表彰式","10","伊藤　良行","5","ｷｬﾝｾﾙ","370","13","昼食","20","入れ込み","2100","近畿日本ツーリスト法人第1支店","","近畿日本ツーリスト",""
"34975","76","1","資生堂スギ薬局　表彰式","3","伏見","2025/05/16","10:00","19:00","資生堂スギ薬局　表彰式","10","伊藤　良行","5","ｷｬﾝｾﾙ","370","4","スタッフ控室","5","ロの字","2100","近畿日本ツーリスト法人第1支店","","近畿日本ツーリスト",""
"35000","50","1","ユースリーダー研修会","4","紬(１)","2025/04/20","12:00","13:00","ユースリーダー研修会","50","近藤　和記","5","ｷｬﾝｾﾙ","300","13","昼食","26","テーブル","2999","スイトトラベル株式会社","","その他AGT",""
"35000","50","1","ユースリーダー研修会","2","紬(１)","2025/04/19","12:00","13:00","ユースリーダー研修会","50","近藤　和記","5","ｷｬﾝｾﾙ","300","13","昼食","26","テーブル","2999","スイトトラベル株式会社","","その他AGT",""
"35000","50","1","ユースリーダー研修会","3","紬(２)","2025/04/20","09:00","12:00","ユースリーダー研修会","50","近藤　和記","5","ｷｬﾝｾﾙ","310","27","研修会","3","スクール形式","2999","スイトトラベル株式会社","","その他AGT",""
